     7.6562 -0.00073953  0.00019816
     7.6535    -0.19722    0.052846
     7.6535    -0.19805    0.053069
     7.6535    -0.19889    0.053292
     7.6534    -0.19972    0.053515
     7.6534    -0.20055    0.053738
     7.6534    -0.20138    0.053961
     7.6534    -0.20222    0.054184
     7.6534    -0.20305    0.054407
     7.6533    -0.20388     0.05463
     7.6533    -0.20471    0.054853
     7.6533    -0.20555    0.055076
     7.6533    -0.20638    0.055299
     7.6532    -0.20721    0.055522
     7.6532    -0.20804    0.055745
     7.6532    -0.20887    0.055968
     7.6532    -0.20971    0.056191
     7.6531    -0.21054    0.056414
     7.6531    -0.21137    0.056637
     7.6531     -0.2122     0.05686
     7.6531    -0.21304    0.057083
      7.653    -0.21387    0.057306
      7.653     -0.2147    0.057529
      7.653    -0.21553    0.057752
      7.653    -0.21637    0.057975
     7.6529     -0.2172    0.058198
     7.6529    -0.21803    0.058421
     7.6529    -0.21886    0.058644
     7.6529    -0.21969    0.058867
     7.6528    -0.22053     0.05909
     7.6528    -0.22136    0.059313
     7.6528    -0.22219    0.059536
     7.6528    -0.22302    0.059759
     7.6527    -0.22386    0.059982
     7.6527    -0.22469    0.060205
     7.6527    -0.22552    0.060428
     7.6527    -0.22635    0.060651
     7.6526    -0.22719    0.060874
     7.6526    -0.22802    0.061097
     7.6526    -0.22885     0.06132
     7.6525    -0.22968    0.061543
     7.6525    -0.23051    0.061766
     7.6525    -0.23135    0.061989
     7.6525    -0.23218    0.062212
     7.6524    -0.23301    0.062435
     7.6524    -0.23384    0.062658
     7.6524    -0.23468    0.062881
     7.6524    -0.23551    0.063104
     7.6523    -0.23634    0.063327
     7.6523    -0.23717     0.06355
     7.6523      -0.238    0.063773
     7.6522    -0.23884    0.063996
     7.6522    -0.23967    0.064219
     7.6522     -0.2405    0.064442
     7.6522    -0.24133    0.064665
     7.6521    -0.24217    0.064888
     7.6521      -0.243    0.065111
     7.6521    -0.24383    0.065334
     7.6521    -0.24466    0.065557
      7.652    -0.24549     0.06578
      7.652    -0.24633    0.066003
      7.652    -0.24716    0.066226
     7.6519    -0.24799    0.066449
     7.6519    -0.24882    0.066672
     7.6519    -0.24966    0.066895
     7.6518    -0.25049    0.067118
     7.6518    -0.25132    0.067341
     7.6518    -0.25215    0.067564
     7.6518    -0.25298    0.067787
     7.6517    -0.25382     0.06801
     7.6517    -0.25465    0.068233
     7.6517    -0.25548    0.068456
     7.6516    -0.25631    0.068679
     7.6516    -0.25714    0.068902
     7.6516    -0.25798    0.069125
     7.6516    -0.25881    0.069348
     7.6515    -0.25964    0.069571
     7.6515    -0.26047    0.069794
     7.6515    -0.26131    0.070017
     7.6514    -0.26214     0.07024
     7.6514    -0.26297    0.070463
     7.6514     -0.2638    0.070686
     7.6513    -0.26463    0.070908
     7.6513    -0.26547    0.071131
     7.6513     -0.2663    0.071354
     7.6512    -0.26713    0.071577
     7.6512    -0.26796      0.0718
     7.6512    -0.26879    0.072023
     7.6512    -0.26963    0.072246
     7.6511    -0.27046    0.072469
     7.6511    -0.27129    0.072692
     7.6511    -0.27212    0.072915
      7.651    -0.27296    0.073138
      7.651    -0.27379    0.073361
      7.651    -0.27462    0.073584
     7.6509    -0.27545    0.073807
     7.6509    -0.27628     0.07403
     7.6509    -0.27712    0.074253
     7.6508    -0.27795    0.074476
     7.6508    -0.27878    0.074699
     7.6508    -0.27961    0.074922
     7.6507    -0.28044    0.075145
     7.6507    -0.28128    0.075368
     7.6507    -0.28211    0.075591
     7.6506    -0.28294    0.075814
     7.6506    -0.28377    0.076036
     7.6506     -0.2846    0.076259
     7.6505    -0.28544    0.076482
     7.6505    -0.28627    0.076705
     7.6505     -0.2871    0.076928
     7.6504    -0.28793    0.077151
     7.6504    -0.28876    0.077374
     7.6504     -0.2896    0.077597
     7.6503    -0.29043     0.07782
     7.6503    -0.29126    0.078043
     7.6503    -0.29209    0.078266
     7.6502    -0.29292    0.078489
     7.6502    -0.29376    0.078712
     7.6502    -0.29459    0.078935
     7.6501    -0.29542    0.079158
     7.6501    -0.29625    0.079381
     7.6501    -0.29708    0.079603
       7.65    -0.29792    0.079826
       7.65    -0.29875    0.080049
       7.65    -0.29958    0.080272
     7.6499    -0.30041    0.080495
     7.6499    -0.30124    0.080718
     7.6499    -0.30208    0.080941
     7.6498    -0.30291    0.081164
     7.6498    -0.30374    0.081387
     7.6498    -0.30457     0.08161
     7.6497     -0.3054    0.081833
     7.6497    -0.30624    0.082056
     7.6496    -0.30707    0.082279
     7.6496     -0.3079    0.082501
     7.6496    -0.30873    0.082724
     7.6495    -0.30956    0.082947
     7.6495     -0.3104     0.08317
     7.6495    -0.31123    0.083393
     7.6494    -0.31206    0.083616
     7.6494    -0.31289    0.083839
     7.6494    -0.31372    0.084062
     7.6493    -0.31455    0.084285
     7.6493    -0.31539    0.084508
     7.6492    -0.31622    0.084731
     7.6492    -0.31705    0.084953
     7.6492    -0.31788    0.085176
     7.6491    -0.31871    0.085399
     7.6491    -0.31955    0.085622
     7.6491    -0.32038    0.085845
      7.649    -0.32121    0.086068
      7.649    -0.32204    0.086291
     7.6489    -0.32287    0.086514
     7.6489    -0.32371    0.086737
     7.6489    -0.32454     0.08696
     7.6488    -0.32537    0.087182
     7.6488     -0.3262    0.087405
     7.6488    -0.32703    0.087628
     7.6487    -0.32786    0.087851
     7.6487     -0.3287    0.088074
     7.6486    -0.32953    0.088297
     7.6486    -0.33036     0.08852
     7.6486    -0.33119    0.088743
     7.6485    -0.33202    0.088966
     7.6485    -0.33286    0.089188
     7.6485    -0.33369    0.089411
     7.6484    -0.33452    0.089634
     7.6484    -0.33535    0.089857
     7.6483    -0.33618     0.09008
     7.6483    -0.33701    0.090303
     7.6483    -0.33785    0.090526
     7.6482    -0.33868    0.090749
     7.6482    -0.33951    0.090971
     7.6481    -0.34034    0.091194
     7.6481    -0.34117    0.091417
     7.6481    -0.34201     0.09164
      7.648    -0.34284    0.091863
      7.648    -0.34367    0.092086
     7.6479     -0.3445    0.092309
     7.6479    -0.34533    0.092532
     7.6479    -0.34616    0.092754
     7.6478      -0.347    0.092977
     7.6478    -0.34783      0.0932
     7.6477    -0.34866    0.093423
     7.6477    -0.34949    0.093646
     7.6477    -0.35032    0.093869
     7.6476    -0.35115    0.094092
     7.6476    -0.35199    0.094314
     7.6475    -0.35282    0.094537
     7.6475    -0.35365     0.09476
     7.6475    -0.35448    0.094983
     7.6474    -0.35531    0.095206
     7.6474    -0.35614    0.095429
     7.6473    -0.35698    0.095652
     7.6473    -0.35781    0.095874
     7.6472    -0.35864    0.096097
     7.6472    -0.35947     0.09632
     7.6472     -0.3603    0.096543
     7.6471    -0.36113    0.096766
     7.6471    -0.36197    0.096989
      7.647     -0.3628    0.097211
      7.647    -0.36363    0.097434
      7.647    -0.36446    0.097657
     7.6469    -0.36529     0.09788
     7.6469    -0.36612    0.098103
     7.6468    -0.36696    0.098326
     7.6468    -0.36779    0.098548
     7.6467    -0.36862    0.098771
     7.6467    -0.36945    0.098994
     7.6467    -0.37028    0.099217
     7.6466    -0.37111     0.09944
     7.6466    -0.37195    0.099663
     7.6465    -0.37278    0.099885
     7.6465    -0.37361     0.10011
     7.6464    -0.37444     0.10033
     7.6464    -0.37527     0.10055
     7.6463     -0.3761     0.10078
     7.6463    -0.37694       0.101
     7.6463    -0.37777     0.10122
     7.6462     -0.3786     0.10145
     7.6462    -0.37943     0.10167
     7.6461    -0.38026     0.10189
     7.6461    -0.38109     0.10211
      7.646    -0.38192     0.10234
      7.646    -0.38276     0.10256
     7.6459    -0.38359     0.10278
     7.6459    -0.38442       0.103
     7.6459    -0.38525     0.10323
     7.6458    -0.38608     0.10345
     7.6458    -0.38691     0.10367
     7.6457    -0.38775      0.1039
     7.6457    -0.38858     0.10412
     7.6456    -0.38941     0.10434
     7.6456    -0.39024     0.10456
     7.6455    -0.39107     0.10479
     7.6455     -0.3919     0.10501
     7.6455    -0.39273     0.10523
     7.6454    -0.39357     0.10546
     7.6454     -0.3944     0.10568
     7.6453    -0.39523      0.1059
     7.6453    -0.39606     0.10612
     7.6452    -0.39689     0.10635
     7.6452    -0.39772     0.10657
     7.6451    -0.39855     0.10679
     7.6451    -0.39939     0.10702
      7.645    -0.40022     0.10724
      7.645    -0.40105     0.10746
     7.6449    -0.40188     0.10768
     7.6449    -0.40271     0.10791
     7.6449    -0.40354     0.10813
     7.6448    -0.40437     0.10835
     7.6448    -0.40521     0.10857
     7.6447    -0.40604      0.1088
     7.6447    -0.40687     0.10902
     7.6446     -0.4077     0.10924
     7.6446    -0.40853     0.10947
     7.6445    -0.40936     0.10969
     7.6445    -0.41019     0.10991
     7.6444    -0.41103     0.11013
     7.6444    -0.41186     0.11036
     7.6443    -0.41269     0.11058
     7.6443    -0.41352      0.1108
     7.6442    -0.41435     0.11103
     7.6442    -0.41518     0.11125
     7.6441    -0.41601     0.11147
     7.6441    -0.41685     0.11169
      7.644    -0.41768     0.11192
      7.644    -0.41851     0.11214
     7.6439    -0.41934     0.11236
     7.6439    -0.42017     0.11258
     7.6438      -0.421     0.11281
     7.6438    -0.42183     0.11303
     7.6437    -0.42266     0.11325
     7.6437     -0.4235     0.11348
     7.6436    -0.42433      0.1137
     7.6436    -0.42516     0.11392
     7.6435    -0.42599     0.11414
     7.6435    -0.42682     0.11437
     7.6434    -0.42765     0.11459
     7.6434    -0.42848     0.11481
     7.6433    -0.42931     0.11503
     7.6433    -0.43015     0.11526
     7.6432    -0.43098     0.11548
     7.6432    -0.43181      0.1157
     7.6431    -0.43264     0.11593
     7.6431    -0.43347     0.11615
      7.643     -0.4343     0.11637
      7.643    -0.43513     0.11659
     7.6429    -0.43596     0.11682
     7.6429     -0.4368     0.11704
     7.6428    -0.43763     0.11726
     7.6428    -0.43846     0.11748
     7.6427    -0.43929     0.11771
     7.6427    -0.44012     0.11793
     7.6426    -0.44095     0.11815
     7.6426    -0.44178     0.11838
     7.6425    -0.44261      0.1186
     7.6425    -0.44345     0.11882
     7.6424    -0.44428     0.11904
     7.6424    -0.44511     0.11927
     7.6423    -0.44594     0.11949
     7.6423    -0.44677     0.11971
     7.6422     -0.4476     0.11993
     7.6422    -0.44843     0.12016
     7.6421    -0.44926     0.12038
     7.6421    -0.45009      0.1206
      7.642    -0.45093     0.12083
      7.642    -0.45176     0.12105
     7.6419    -0.45259     0.12127
     7.6419    -0.45342     0.12149
     7.6418    -0.45425     0.12172
     7.6418    -0.45508     0.12194
     7.6417    -0.45591     0.12216
     7.6416    -0.45674     0.12238
     7.6416    -0.45757     0.12261
     7.6415    -0.45841     0.12283
     7.6415    -0.45924     0.12305
     7.6414    -0.46007     0.12327
     7.6414     -0.4609      0.1235
     7.6413    -0.46173     0.12372
     7.6413    -0.46256     0.12394
     7.6412    -0.46339     0.12417
     7.6412    -0.46422     0.12439
     7.6411    -0.46505     0.12461
     7.6411    -0.46588     0.12483
      7.641    -0.46672     0.12506
     7.6409    -0.46755     0.12528
     7.6409    -0.46838      0.1255
     7.6408    -0.46921     0.12572
     7.6408    -0.47004     0.12595
     7.6407    -0.47087     0.12617
     7.6407     -0.4717     0.12639
     7.6406    -0.47253     0.12661
     7.6406    -0.47336     0.12684
     7.6405    -0.47419     0.12706
     7.6405    -0.47503     0.12728
     7.6404    -0.47586     0.12751
     7.6403    -0.47669     0.12773
     7.6403    -0.47752     0.12795
     7.6402    -0.47835     0.12817
     7.6402    -0.47918      0.1284
     7.6401    -0.48001     0.12862
     7.6401    -0.48084     0.12884
       7.64    -0.48167     0.12906
       7.64     -0.4825     0.12929
     7.6399    -0.48333     0.12951
     7.6398    -0.48417     0.12973
     7.6398      -0.485     0.12995
     7.6397    -0.48583     0.13018
     7.6397    -0.48666      0.1304
     7.6396    -0.48749     0.13062
     7.6396    -0.48832     0.13084
     7.6395    -0.48915     0.13107
     7.6394    -0.48998     0.13129
     7.6394    -0.49081     0.13151
     7.6393    -0.49164     0.13174
     7.6393    -0.49247     0.13196
     7.6392     -0.4933     0.13218
     7.6392    -0.49414      0.1324
     7.6391    -0.49497     0.13263
      7.639     -0.4958     0.13285
      7.639    -0.49663     0.13307
     7.6389    -0.49746     0.13329
     7.6389    -0.49829     0.13352
     7.6388    -0.49912     0.13374
     7.6388    -0.49995     0.13396
     7.6387    -0.50078     0.13418
     7.6386    -0.50161     0.13441
     7.6386    -0.50244     0.13463
     7.6385    -0.50327     0.13485
     7.6385     -0.5041     0.13507
     7.6384    -0.50493      0.1353
     7.6383    -0.50577     0.13552
     7.6383     -0.5066     0.13574
     7.6382    -0.50743     0.13596
     7.6382    -0.50826     0.13619
     7.6381    -0.50909     0.13641
      7.638    -0.50992     0.13663
      7.638    -0.51075     0.13685
     7.6379    -0.51158     0.13708
     7.6379    -0.51241      0.1373
     7.6378    -0.51324     0.13752
     7.6377    -0.51407     0.13775
     7.6377     -0.5149     0.13797
     7.6376    -0.51573     0.13819
     7.6376    -0.51656     0.13841
     7.6375    -0.51739     0.13864
     7.6374    -0.51823     0.13886
     7.6374    -0.51906     0.13908
     7.6373    -0.51989      0.1393
     7.6373    -0.52072     0.13953
     7.6372    -0.52155     0.13975
     7.6371    -0.52238     0.13997
     7.6371    -0.52321     0.14019
      7.637    -0.52404     0.14042
      7.637    -0.52487     0.14064
     7.6369     -0.5257     0.14086
     7.6368    -0.52653     0.14108
     7.6368    -0.52736     0.14131
     7.6367    -0.52819     0.14153
     7.6367    -0.52902     0.14175
     7.6366    -0.52985     0.14197
     7.6365    -0.53068      0.1422
     7.6365    -0.53151     0.14242
     7.6364    -0.53234     0.14264
     7.6363    -0.53318     0.14286
     7.6363    -0.53401     0.14309
     7.6362    -0.53484     0.14331
     7.6362    -0.53567     0.14353
     7.6361     -0.5365     0.14375
      7.636    -0.53733     0.14398
      7.636    -0.53816      0.1442
     7.6359    -0.53899     0.14442
     7.6358    -0.53982     0.14464
     7.6358    -0.54065     0.14487
     7.6357    -0.54148     0.14509
     7.6357    -0.54231     0.14531
     7.6356    -0.54314     0.14553
     7.6355    -0.54397     0.14576
     7.6355     -0.5448     0.14598
     7.6354    -0.54563      0.1462
     7.6353    -0.54646     0.14642
     7.6353    -0.54729     0.14665
     7.6352    -0.54812     0.14687
     7.6352    -0.54895     0.14709
     7.6351    -0.54978     0.14731
      7.635    -0.55061     0.14754
      7.635    -0.55144     0.14776
     7.6349    -0.55227     0.14798
     7.6348    -0.55311      0.1482
     7.6348    -0.55394     0.14843
     7.6347    -0.55477     0.14865
     7.6346     -0.5556     0.14887
     7.6346    -0.55643     0.14909
     7.6345    -0.55726     0.14932
     7.6344    -0.55809     0.14954
     7.6344    -0.55892     0.14976
     7.6343    -0.55975     0.14998
     7.6342    -0.56058     0.15021
     7.6342    -0.56141     0.15043
     7.6341    -0.56224     0.15065
     7.6341    -0.56307     0.15087
      7.634     -0.5639      0.1511
     7.6339    -0.56473     0.15132
     7.6339    -0.56556     0.15154
     7.6338    -0.56639     0.15176
     7.6337    -0.56722     0.15199
     7.6337    -0.56805     0.15221
     7.6336    -0.56888     0.15243
     7.6335    -0.56971     0.15265
     7.6335    -0.57054     0.15288
     7.6334    -0.57137      0.1531
     7.6333     -0.5722     0.15332
     7.6333    -0.57303     0.15354
     7.6332    -0.57386     0.15377
     7.6331    -0.57469     0.15399
     7.6331    -0.57552     0.15421
      7.633    -0.57635     0.15443
     7.6329    -0.57718     0.15466
     7.6329    -0.57801     0.15488
     7.6328    -0.57884      0.1551
     7.6327    -0.57967     0.15532
     7.6327     -0.5805     0.15555
     7.6326    -0.58133     0.15577
     7.6325    -0.58216     0.15599
     7.6324    -0.58299     0.15621
     7.6324    -0.58382     0.15643
     7.6323    -0.58465     0.15666
     7.6322    -0.58548     0.15688
     7.6322    -0.58631      0.1571
     7.6321    -0.58714     0.15732
      7.632    -0.58797     0.15755
      7.632     -0.5888     0.15777
     7.6319    -0.58963     0.15799
     7.6318    -0.59046     0.15821
     7.6318    -0.59129     0.15844
     7.6317    -0.59212     0.15866
     7.6316    -0.59295     0.15888
     7.6316    -0.59378      0.1591
     7.6315    -0.59461     0.15933
     7.6314    -0.59544     0.15955
     7.6314    -0.59627     0.15977
     7.6313     -0.5971     0.15999
     7.6312    -0.59793     0.16022
     7.6311    -0.59876     0.16044
     7.6311    -0.59959     0.16066
      7.631    -0.60042     0.16088
     7.6309    -0.60125      0.1611
     7.6309    -0.60208     0.16133
     7.6308    -0.60291     0.16155
     7.6307    -0.60374     0.16177
     7.6307    -0.60457     0.16199
     7.6306     -0.6054     0.16222
     7.6305    -0.60623     0.16244
     7.6304    -0.60706     0.16266
     7.6304    -0.60789     0.16288
     7.6303    -0.60872     0.16311
     7.6302    -0.60955     0.16333
     7.6302    -0.61038     0.16355
     7.6301    -0.61121     0.16377
       7.63    -0.61204       0.164
     7.6299    -0.61287     0.16422
     7.6299     -0.6137     0.16444
     7.6298    -0.61453     0.16466
     7.6297    -0.61536     0.16489
     7.6297    -0.61619     0.16511
     7.6296    -0.61702     0.16533
     7.6295    -0.61785     0.16555
     7.6294    -0.61868     0.16577
     7.6294    -0.61951       0.166
     7.6293    -0.62034     0.16622
     7.6292    -0.62117     0.16644
     7.6292      -0.622     0.16666
     7.6291    -0.62283     0.16689
      7.629    -0.62366     0.16711
     7.6289    -0.62449     0.16733
     7.6289    -0.62532     0.16755
     7.6288    -0.62615     0.16778
     7.6287    -0.62698       0.168
     7.6286     -0.6278     0.16822
     7.6286    -0.62863     0.16844
     7.6285    -0.62946     0.16866
     7.6284    -0.63029     0.16889
     7.6284    -0.63112     0.16911
     7.6283    -0.63195     0.16933
     7.6282    -0.63278     0.16955
     7.6281    -0.63361     0.16978
     7.6281    -0.63444        0.17
      7.628    -0.63527     0.17022
     7.6279     -0.6361     0.17044
     7.6278    -0.63693     0.17067
     7.6278    -0.63776     0.17089
     7.6277    -0.63859     0.17111
     7.6276    -0.63942     0.17133
     7.6275    -0.64025     0.17155
     7.6275    -0.64108     0.17178
     7.6274    -0.64191       0.172
     7.6273    -0.64274     0.17222
     7.6272    -0.64357     0.17244
     7.6272     -0.6444     0.17267
     7.6271    -0.64523     0.17289
      7.627    -0.64606     0.17311
     7.6269    -0.64688     0.17333
     7.6269    -0.64771     0.17355
     7.6268    -0.64854     0.17378
     7.6267    -0.64937       0.174
     7.6266     -0.6502     0.17422
     7.6266    -0.65103     0.17444
     7.6265    -0.65186     0.17467
     7.6264    -0.65269     0.17489
     7.6263    -0.65352     0.17511
     7.6263    -0.65435     0.17533
     7.6262    -0.65518     0.17555
     7.6261    -0.65601     0.17578
      7.626    -0.65684       0.176
     7.6259    -0.65767     0.17622
     7.6259     -0.6585     0.17644
     7.6258    -0.65933     0.17667
     7.6257    -0.66016     0.17689
     7.6256    -0.66098     0.17711
     7.6256    -0.66181     0.17733
     7.6255    -0.66264     0.17755
     7.6254    -0.66347     0.17778
     7.6253     -0.6643       0.178
     7.6253    -0.66513     0.17822
     7.6252    -0.66596     0.17844
     7.6251    -0.66679     0.17867
      7.625    -0.66762     0.17889
     7.6249    -0.66845     0.17911
     7.6249    -0.66928     0.17933
     7.6248    -0.67011     0.17955
     7.6247    -0.67094     0.17978
     7.6246    -0.67177        0.18
     7.6246    -0.67259     0.18022
     7.6245    -0.67342     0.18044
     7.6244    -0.67425     0.18067
     7.6243    -0.67508     0.18089
     7.6242    -0.67591     0.18111
     7.6242    -0.67674     0.18133
     7.6241    -0.67757     0.18155
      7.624     -0.6784     0.18178
     7.6239    -0.67923       0.182
     7.6238    -0.68006     0.18222
     7.6238    -0.68089     0.18244
     7.6237    -0.68172     0.18266
     7.6236    -0.68254     0.18289
     7.6235    -0.68337     0.18311
     7.6234     -0.6842     0.18333
     7.6234    -0.68503     0.18355
     7.6233    -0.68586     0.18378
